ExhibitionId|BoothNum|NewNav|Sharp|NewSPC|Hall|Fx
353|2L34|340,633,374,693|rect||2H|
353|2L35|340,693,374,730|rect||2H|
353|2L36|340,730,374,751|rect||2H|
353|2L41|391,636,458,676|rect||2H|
353|2L43|392,677,459,751|rect||2H|
353|2L51|458,636,539,751|rect||2H|
353|2L61|611,622,758,752|rect||2H|
353|2L81|775,628,793,682|rect||2H|
353|2L83|793,627,864,659|rect||2H|
353|2L84|793,659,822,682|rect||2H|
353|2L86|822,659,865,682|rect||2H|
353|2L87|864,628,897,651|rect||2H|
353|2L88|864,651,897,682|rect||2H|
353|2L91|919,637,1057,752|rect||2H|
353|2P01|86,705,116,735|rect||2H|
353|2P02|86,734,116,751|rect||2H|
353|2P03|115,705,144,729|rect||2H|
353|2P04|115,727,138,752|rect||2H|
353|2P05|143,705,173,729|rect||2H|
353|2P06|138,729,162,751|rect||2H|
353|2P07|174,706,202,729|rect||2H|
353|2P08|162,729,185,751|rect||2H|
353|2P10|184,729,202,751|rect||2H|
353|2P11|202,705,230,730|rect||2H|
353|2P12|201,730,231,751|rect||2H|
353|2P81|775,700,836,751|rect||2H|
353|2P83|835,700,897,751|rect||2H|
353|2Q11|1297,179,1330,198|rect||2H|
353|2Q15|1330,181,1366,198|rect||2H|
353|2Q19|1365,180,1412,198|rect||2H|
353|2Q21|1434,180,1478,198|rect||2H|
353|2Q25|1478,180,1512,198|rect||2H|
353|2Q29|1511,180,1536,198|rect||2H|
353|2Q31|1521,214,1538,247|rect||2H|
353|2Q35|1521,246,1538,270|rect||2H|
353|2Q37|1521,270,1539,304|rect||2H|
353|2Q39|1521,305,1539,356|rect||2H|
353|2Q41|1521,357,1538,390|rect||2H|
353|2Q45|1521,390,1538,437|rect||2H|
353|2Q51|1521,437,1538,471|rect||2H|
353|2R01|1126,264,1208,299|rect||2H|
353|2R11|1224,264,1259,298|rect||2H|
353|2R15|1259,264,1279,298|rect||2H|
353|2R21|1296,214,1325,233|rect||2H|
353|2R23|1296,232,1337,250|rect||2H|
353|2R27|1325,215,1365,232|rect||2H|
353|2R29|1337,233,1377,250|rect||2H|
353|2R31|1365,214,1412,233|rect||2H|
353|2R37|1376,232,1412,249|rect||2H|
353|2R41|1296,267,1374,298|rect||2H|
353|2R45|1374,266,1412,298|rect||2H|
353|2R51|1434,214,1470,255|rect||2H|
353|2R53|1434,255,1470,298|rect||2H|
353|2R57|1469,214,1504,255|rect||2H|
353|2R59|1470,255,1504,299|rect||2H|
353|2S01|1126,322,1208,356|rect||2H|
353|2S11|1126,374,1162,386|rect||2H|
353|2S13|1126,385,1162,397|rect||2H|
353|2S15|1126,396,1162,408|rect||2H|
353|2S17|1162,374,1178,391|rect||2H|
353|2S19|1178,373,1190,390|rect||2H|
353|2S21|1190,373,1207,386|rect||2H|
353|2S23|1162,390,1184,407|rect||2H|
353|2S25|1206,385,1207,408,1184,408,1183,390,1189,390,1190,385,1205,384|poly||2H|
353|2S31|1172,425,1126,425,1126,471,1150,471,1149,454,1172,454|poly||2H|
353|2S33|1173,430,1190,437|rect||2H|
353|2S35|1173,430,1190,437|rect||2H|
353|2S37|1173,436,1190,442|rect||2H|
353|2S39|1173,442,1190,448|rect||2H|
353|2S40|1173,447,1190,454|rect||2H|
353|2S41|1224,321,1276,345|rect||2H|
353|2S45|1224,344,1294,368|rect||2H|
353|2S51|1149,454,1159,472|rect||2H|
353|2S53|1158,454,1168,472|rect||2H|
353|2S55|1294,345,1358,368|rect||2H|
353|2S57|1190,447,1207,471|rect||2H|
353|2S71|1224,385,1358,472|rect||2H|
353|2S81|1374,322,1412,396|rect||2H|
353|2S85|1374,395,1412,471|rect||2H|
353|2S87|1434,321,1470,368|rect||2H|
353|2S89|1469,321,1504,345|rect||2H|
353|2S91|1469,344,1503,367|rect||2H|
353|2S93|1435,384,1475,414|rect||2H|
353|2S95|1434,414,1470,471|rect||2H|
353|2S97|1474,384,1503,414|rect||2H|
353|2S99|1470,413,1503,471|rect||2H|
353|2T01|1126,506,1279,605|rect||2H|
353|2T21|1296,506,1380,605|rect||2H|
353|2T31|1379,506,1406,558|rect||2H|
353|2T35|1380,558,1406,605|rect||2H|
353|2T41|1428,506,1469,564|rect||2H|
353|2T45|1428,564,1469,606|rect||2H|
353|2T51|1469,506,1504,564|rect||2H|
353|2T57|1469,564,1504,604|rect||2H|
353|2U01|1126,627,1224,680|rect||2H|
353|2U05|1126,680,1201,708|rect||2H|
353|2U07|1201,680,1224,708|rect||2H|
353|2U11|1242,627,1280,667|rect||2H|
